gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,County,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1890719427,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/15249584,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,Anax junius,,SPECIES,"Anax junius Drury, 1773",Anax junius,,US,Guernsey,Ohio,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,39.91861,-81.518055,15,,,,,,8/6/2018 18:30,6,8,2018,5051741,5051741,HUMAN_OBSERVATION,iNaturalist,Observations,15249584,,Heather Dawn,8/9/2018 0:56,CC_BY_NC_4_0,Heather Dawn,Heather Dawn,,,4/11/2021 6:58,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3035014451,3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df,dcef183c-f08e-4f01-b3ec-327bfded8391,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Macromia,Macromia taeniolata,,SPECIES,"Macromia taeniolata Rambur, 1842",Macromia taeniolata,,US,Guernsey,Ohio,PRESENT,,76591189-6f20-4784-8576-94eafe7a0aee,39.9256,-81.43791,,,,,,,8/3/2018 0:00,3,8,2018,1429883,1429883,HUMAN_OBSERVATION,Odonata Central,,487440,,,,CC_BY_NC_4_0,Odonata Central,Jon Cefus,,,4/11/2021 14:55,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3034999394,3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df,aa3278c2-f80f-46ae-979c-f980c608d225,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pachydiplax,Pachydiplax longipennis,,SPECIES,"Pachydiplax longipennis Burmeister, 1839",Pachydiplax longipennis,,US,Guernsey,Ohio,PRESENT,,76591189-6f20-4784-8576-94eafe7a0aee,39.9256,-81.43791,,,,,,,8/3/2018 0:00,3,8,2018,1428054,1428054,HUMAN_OBSERVATION,Odonata Central,,487448,,,,CC_BY_NC_4_0,Odonata Central,Jon Cefus,,,4/11/2021 14:55,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3034997094,3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df,d0aac068-b2dc-4278-b832-1e78cfcb3ae1,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Perithemis,Perithemis tenera,,SPECIES,"Perithemis tenera Say, 1839",Perithemis tenera,,US,Guernsey,Ohio,PRESENT,,76591189-6f20-4784-8576-94eafe7a0aee,39.9256,-81.43791,,,,,,,8/3/2018 0:00,3,8,2018,1428077,1428077,HUMAN_OBSERVATION,Odonata Central,,487452,,,,CC_BY_NC_4_0,Odonata Central,Jon Cefus,,,4/11/2021 14:55,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3034996781,3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df,c907802b-dcb9-4cf7-81d9-435f99de00c8,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,Enallagma signatum,,SPECIES,"Enallagma signatum Hagen, 1861",Enallagma signatum,,US,Guernsey,Ohio,PRESENT,,76591189-6f20-4784-8576-94eafe7a0aee,39.9256,-81.43791,,,,,,,6/8/2018 0:00,8,6,2018,5051305,5051305,HUMAN_OBSERVATION,Odonata Central,,481417,,,,CC_BY_NC_4_0,Odonata Central,Jon Cefus,,,4/11/2021 14:55,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3034992232,3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df,bad3065f-b2ed-4bea-8252-3bde60b58b09,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura verticalis,,SPECIES,"Ischnura verticalis Say, 1839",Ischnura verticalis,,US,Guernsey,Ohio,PRESENT,,76591189-6f20-4784-8576-94eafe7a0aee,39.9256,-81.43791,,,,,,,6/8/2018 0:00,8,6,2018,1423305,1423305,HUMAN_OBSERVATION,Odonata Central,,481413,,,,CC_BY_NC_4_0,Odonata Central,Jon Cefus,,,4/11/2021 14:55,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3034961091,3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df,6eb0ab08-466a-49bf-adcc-a628988bcd4b,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Plathemis,Plathemis lydia,,SPECIES,"Plathemis lydia (Drury, 1773)",Plathemis lydia,,US,Guernsey,Ohio,PRESENT,,76591189-6f20-4784-8576-94eafe7a0aee,39.9256,-81.43791,,,,,,,6/8/2018 0:00,8,6,2018,4302510,4302510,HUMAN_OBSERVATION,Odonata Central,,481405,,,,CC_BY_NC_4_0,Odonata Central,Jon Cefus,,,4/11/2021 14:55,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3034956287,3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df,603abbb9-9480-4fae-bab0-7b3351e1ec63,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,Libellula luctuosa,,SPECIES,"Libellula luctuosa Burmeister, 1839",Libellula luctuosa,,US,Guernsey,Ohio,PRESENT,,76591189-6f20-4784-8576-94eafe7a0aee,39.9256,-81.43791,,,,,,,8/3/2018 0:00,3,8,2018,1427951,1427951,HUMAN_OBSERVATION,Odonata Central,,487451,,,,CC_BY_NC_4_0,Odonata Central,Jon Cefus,,,4/11/2021 14:55,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3034955651,3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df,50a57d82-5c75-4077-843f-bbcd8b94fb82,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Arigomphus,Arigomphus villosipes,,SPECIES,"Arigomphus villosipes Selys, 1854",Arigomphus villosipes,,US,Guernsey,Ohio,PRESENT,,76591189-6f20-4784-8576-94eafe7a0aee,39.9256,-81.43791,,,,,,,6/8/2018 0:00,8,6,2018,1425901,1425901,HUMAN_OBSERVATION,Odonata Central,,481410,,,,CC_BY_NC_4_0,Odonata Central,Jon Cefus,,,4/11/2021 14:55,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3034953744,3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df,51bad1d6-ed2e-447d-9ea3-d9267ad2834e,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Plathemis,Plathemis lydia,,SPECIES,"Plathemis lydia (Drury, 1773)",Plathemis lydia,,US,Guernsey,Ohio,PRESENT,,76591189-6f20-4784-8576-94eafe7a0aee,39.9256,-81.43791,,,,,,,8/3/2018 0:00,3,8,2018,4302510,4302510,HUMAN_OBSERVATION,Odonata Central,,487443,,,,CC_BY_NC_4_0,Odonata Central,Jon Cefus,,,4/11/2021 14:55,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
